source,title,status,airDate,description,link
"WorldAtWork","Excel Case Study: Using Excel Tools and Formulas to Build a Dynamic Merit Matrix","Upcoming","2026-02-24","Workshop","https://worldatwork.org/product/redirect/a2WRj000004YB6nMAG"
"WorldAtWork","Building a Fair and Compliant Global Compensation Strategy","Upcoming","2026-02-25","Sponsor Delivered","https://worldatwork.org/product/redirect/a2WRj000004duKzMAI"
"WorldAtWork","Pay Transparency and Pay Equity: Separating Myth from Reality","Upcoming","2026-03-23","Featured","https://worldatwork.org/product/redirect/a2WRj000004iU06MAE"
"WorldAtWork","Incentive Compensation Maturity: How Leading Organizations Build Trust, Alignment, and Improvement Over Time","Upcoming","2026-03-31","Sponsor Delivered","https://worldatwork.org/product/redirect/a2WRj000004gN17MAE"
"WorldAtWork","Leveraging Centers of Excellence to Manage the High Costs of Cancer","Upcoming","2026-04-14","Sponsor Delivered","https://worldatwork.org/product/redirect/a2WRj000004gMMoMAM"
"WorldAtWork","Beyond Performance: How ""Impact"" Drives Compensation Resource Allocation","Upcoming","2026-04-28","Exclusive • Members Only","https://worldatwork.org/product/redirect/a2WRj000004XLGHMA4"
"Syndio","Countdown to the EU Directive: Transposition Trends and Preparing for the Right to Information","On Demand","June 25, 2025",,"https://synd.io/countdown-to-the-eu-directive-webinar-recording/"
"Syndio","Fireside Chat with Samira Rafaela, Co-Architect of the EU Pay Transparency Directive","On Demand","April 29, 2025",,"https://synd.io/fireside-chat-with-samira-rafaela-recording/"
"Syndio","Ask Us Anything: Understanding the Impact of the U.S. Executive Orders on Pay Equity","On Demand","March 19, 2025",,"https://synd.io/understanding-the-impact-of-the-us-executive-orders-on-pay-equity-recording/"
"Syndio","Driving a Global Compliance Strategy in a Shifting Landscape","On Demand","February 26, 2025",,"https://synd.io/driving-global-pay-equity-and-pay-gap-reporting-recording/"
"Syndio","The Future of Compensation: Scaling Pay Equity and Transparency with CompTech","On Demand","December 11, 2024",,"https://synd.io/scaling-pay-equity-and-transparency-with-comptech-recording/"
"Syndio","New President, New Pay Equity & Reporting Requirements?","On Demand","November 20, 2024",,"https://synd.io/new-president-new-pay-equity-and-reporting-requirements-recording/"
"Syndio","Keep Up with the EU Pay Transparency Directive: Updates, Market Insights, & Global Compliance Strategies","On Demand","October 16, 2024",,"https://synd.io/eu-pay-transparency-directive-updates-recording/"
"Syndio","How global employers approach pay transparency","On Demand",,,"https://synd.io/how-global-employers-approach-pay-transparency-recording/"
"Syndio","Decoding the Unadjusted Pay Gap","On Demand","April 18, 2024",,"https://synd.io/unadjusted-gender-pay-gap-calculation-recording/"
"Syndio","Tried & True Best Practices for Global Pay Reporting","On Demand","February 21, 2024",,"https://synd.io/global-pay-data-report-best-practices-recording/"
"Syndio","Mapping the Gaps: Get Ahead of Pay and Opportunity Reporting","On Demand","January 25, 2024",,"https://synd.io/mapping-opportunity-gap-pay-gap-recording/"
"Syndio","Key Factors for Effective 2024 Total Rewards Planning","On Demand","December 14, 2023",,"https://synd.io/planning-for-total-rewards-in-2024-recording/"
